stage,epoch,step,loss,learning_rate,timestamp
pretrain,1,200,7.26714230,0.000499999972474,2026-04-27T19:55:48
pretrain,1,400,7.11558056,0.000499999889896,2026-04-27T19:56:03
pretrain,1,600,7.15335035,0.000499999752267,2026-04-27T19:56:19
pretrain,1,800,7.00390625,0.000499999559585,2026-04-27T19:56:35
pretrain,1,1000,7.05331516,0.000499999311852,2026-04-27T19:56:50
pretrain,1,1200,6.82877827,0.000499999009067,2026-04-27T19:57:06
pretrain,1,1400,6.97785091,0.000499998651231,2026-04-27T19:57:22
pretrain,1,1600,6.66955614,0.000499998238343,2026-04-27T19:57:38
pretrain,1,1800,7.12947178,0.000499997770403,2026-04-27T19:57:52
pretrain,1,2000,6.92215967,0.000499997247412,2026-04-27T19:58:08
pretrain,1,2200,7.00520468,0.00049999666937,2026-04-27T19:58:24
pretrain,1,2400,6.46265507,0.000499996036277,2026-04-27T19:58:39
pretrain,1,2600,6.84141684,0.000499995348133,2026-04-27T19:58:54
pretrain,1,2800,6.42813253,0.000499994604939,2026-04-27T19:59:09
pretrain,1,3000,5.90285730,0.000499993806693,2026-04-27T19:59:25
pretrain,1,3200,6.67751884,0.000499992953398,2026-04-27T19:59:41
pretrain,1,3400,6.63803720,0.000499992045052,2026-04-27T19:59:56
pretrain,1,3600,6.28985119,0.000499991081656,2026-04-27T20:00:12
pretrain,1,3800,6.58912373,0.000499990063211,2026-04-27T20:00:28
pretrain,1,4000,7.60233593,0.000499988989716,2026-04-27T20:00:44
pretrain,1,4200,6.08944130,0.000499987861172,2026-04-27T20:00:59
pretrain,1,4400,6.16682339,0.00049998667758,2026-04-27T20:01:14
pretrain,1,4600,5.58984900,0.000499985438938,2026-04-27T20:01:30
pretrain,1,4800,5.95555925,0.000499984145248,2026-04-27T20:01:45
pretrain,1,5000,5.67993164,0.000499982796511,2026-04-27T20:02:00
pretrain,1,5200,6.21136808,0.000499981392725,2026-04-27T20:02:16
pretrain,1,5400,6.04757404,0.000499979933893,2026-04-27T20:02:31
pretrain,1,5600,5.99391079,0.000499978420013,2026-04-27T20:02:47
pretrain,1,5800,6.23030472,0.000499976851087,2026-04-27T20:03:02
pretrain,1,6000,5.92252254,0.000499975227114,2026-04-27T20:03:17
pretrain,1,6200,5.31105471,0.000499973548096,2026-04-27T20:03:32
pretrain,1,6400,5.62140322,0.000499971814033,2026-04-27T20:03:48
pretrain,1,6600,6.18261242,0.000499970024924,2026-04-27T20:04:04
pretrain,1,6800,5.77769470,0.000499968180771,2026-04-27T20:04:18
pretrain,1,7000,6.15994930,0.000499966281574,2026-04-27T20:04:34
pretrain,1,7200,5.76815414,0.000499964327333,2026-04-27T20:04:50
pretrain,1,7400,5.80087614,0.000499962318049,2026-04-27T20:05:05
pretrain,1,7600,5.72107077,0.000499960253722,2026-04-27T20:05:20
pretrain,1,7800,5.89844894,0.000499958134353,2026-04-27T20:05:36
pretrain,1,8000,5.38047791,0.000499955959943,2026-04-27T20:05:51
pretrain,1,8200,5.38403988,0.000499953730492,2026-04-27T20:06:07
pretrain,1,8400,6.36561632,0.000499951446,2026-04-27T20:06:22
pretrain,1,8600,5.74265051,0.000499949106468,2026-04-27T20:06:38
pretrain,1,8800,5.75616264,0.000499946711896,2026-04-27T20:06:53
pretrain,1,9000,5.32104349,0.000499944262286,2026-04-27T20:07:09
pretrain,1,9200,6.14549446,0.000499941757637,2026-04-27T20:07:24
pretrain,1,9400,4.98341703,0.000499939197951,2026-04-27T20:07:39
pretrain,1,9600,4.97824049,0.000499936583228,2026-04-27T20:07:55
pretrain,1,9800,4.90324974,0.000499933913469,2026-04-27T20:08:10
pretrain,1,10000,5.39117384,0.000499931188674,2026-04-27T20:08:26
pretrain,1,10200,5.31010723,0.000499928408844,2026-04-27T20:08:43
pretrain,1,10400,5.07206488,0.000499925573979,2026-04-27T20:08:59
pretrain,1,10600,4.28955889,0.000499922684081,2026-04-27T20:09:15
pretrain,1,10800,2.73719120,0.00049991973915,2026-04-27T20:09:31
pretrain,1,11000,4.93309689,0.000499916739187,2026-04-27T20:09:47
pretrain,1,11200,5.73693037,0.000499913684192,2026-04-27T20:10:03
pretrain,1,11400,5.70890331,0.000499910574166,2026-04-27T20:10:18
pretrain,1,11600,5.45525932,0.000499907409111,2026-04-27T20:10:34
pretrain,1,11800,5.41470432,0.000499904189026,2026-04-27T20:10:49
pretrain,1,12000,6.29910517,0.000499900913913,2026-04-27T20:11:04
pretrain,1,12200,4.15629482,0.000499897583772,2026-04-27T20:11:20
pretrain,1,12400,5.45924330,0.000499894198604,2026-04-27T20:11:35
pretrain,1,12600,3.90616775,0.000499890758411,2026-04-27T20:11:51
pretrain,1,12800,6.24054718,0.000499887263192,2026-04-27T20:12:06
pretrain,1,13000,4.93826294,0.000499883712949,2026-04-27T20:12:22
pretrain,1,13200,4.14551449,0.000499880107682,2026-04-27T20:12:38
pretrain,1,13400,4.78349733,0.000499876447393,2026-04-27T20:12:53
pretrain,1,13600,5.33738279,0.000499872732083,2026-04-27T20:13:08
pretrain,1,13800,4.37952280,0.000499868961751,2026-04-27T20:13:24
pretrain,1,14000,4.60828400,0.0004998651364,2026-04-27T20:13:39
pretrain,1,14200,3.61891961,0.00049986125603,2026-04-27T20:13:55
pretrain,1,14400,4.72231436,0.000499857320642,2026-04-27T20:14:10
pretrain,1,14600,4.73057795,0.000499853330238,2026-04-27T20:14:26
pretrain,1,14800,5.50262642,0.000499849284817,2026-04-27T20:14:41
pretrain,1,15000,5.91041708,0.000499845184381,2026-04-27T20:14:56
pretrain,1,15200,5.09504032,0.000499841028931,2026-04-27T20:15:13
pretrain,1,15400,4.97113371,0.000499836818468,2026-04-27T20:15:28
pretrain,1,15600,6.00719452,0.000499832552993,2026-04-27T20:15:45
pretrain,1,15800,4.74919748,0.000499828232508,2026-04-27T20:16:00
pretrain,1,16000,4.97287989,0.000499823857012,2026-04-27T20:16:16
pretrain,1,16200,5.59241343,0.000499819426508,2026-04-27T20:16:31
pretrain,1,16400,4.57116222,0.000499814940996,2026-04-27T20:16:47
pretrain,1,16600,4.50886869,0.000499810400478,2026-04-27T20:17:02
pretrain,1,16800,5.18370628,0.000499805804954,2026-04-27T20:17:18
pretrain,1,17000,4.09768915,0.000499801154425,2026-04-27T20:17:33
pretrain,1,17200,3.75162005,0.000499796448894,2026-04-27T20:17:48
pretrain,1,17400,4.76532030,0.00049979168836,2026-04-27T20:18:04
pretrain,1,17600,4.57014322,0.000499786872826,2026-04-27T20:18:19
pretrain,1,17800,3.87713432,0.000499782002291,2026-04-27T20:18:34
pretrain,1,18000,3.58670545,0.000499777076759,2026-04-27T20:18:50
pretrain,1,18200,4.88923264,0.000499772096229,2026-04-27T20:19:06
pretrain,1,18400,3.96351957,0.000499767060702,2026-04-27T20:19:21
pretrain,1,18600,4.53378010,0.000499761970181,2026-04-27T20:19:37
pretrain,1,18800,3.73724413,0.000499756824667,2026-04-27T20:19:53
pretrain,1,19000,4.69948912,0.00049975162416,2026-04-27T20:20:08
pretrain,1,19200,5.69979000,0.000499746368661,2026-04-27T20:20:23
pretrain,1,19400,4.61230707,0.000499741058174,2026-04-27T20:20:39
pretrain,1,19600,3.66272378,0.000499735692697,2026-04-27T20:20:54
pretrain,1,19800,3.77956176,0.000499730272233,2026-04-27T20:21:09
pretrain,1,20000,3.90993166,0.000499724796784,2026-04-27T20:21:25
pretrain,1,20200,4.85439634,0.00049971926635,2026-04-27T20:21:42
pretrain,1,20400,4.11698198,0.000499713680933,2026-04-27T20:21:58
pretrain,1,20600,5.72104979,0.000499708040534,2026-04-27T20:22:14
pretrain,1,20800,4.66597843,0.000499702345154,2026-04-27T20:22:30
pretrain,1,21000,4.78858519,0.000499696594796,2026-04-27T20:22:45
pretrain,1,21200,5.67142963,0.000499690789459,2026-04-27T20:23:01
pretrain,1,21400,3.76779079,0.000499684929147,2026-04-27T20:23:16
pretrain,1,21600,3.33004880,0.00049967901386,2026-04-27T20:23:32
