[formal_12h] start: 2026-04-27 22:21:07
[formal_12h] checking required files
[formal_12h] pretrain start: 2026-04-27 22:21:07
Model Params: 63.91M
Trainable Params: 63.912M
Epoch:[1/1](21500/1270238), loss: 2.7418, logits_loss: 2.7418, aux_loss: 0.0000, lr: 0.00049968, epoch_time: 1616.0min
Epoch:[1/1](22000/1270238), loss: 2.9819, logits_loss: 2.9819, aux_loss: 0.0000, lr: 0.00049967, epoch_time: 1615.0min
Epoch:[1/1](22500/1270238), loss: 2.0470, logits_loss: 2.0470, aux_loss: 0.0000, lr: 0.00049965, epoch_time: 1615.0min
Epoch:[1/1](23000/1270238), loss: 3.3009, logits_loss: 3.3009, aux_loss: 0.0000, lr: 0.00049964, epoch_time: 1614.0min
Epoch:[1/1](23500/1270238), loss: 2.4035, logits_loss: 2.4035, aux_loss: 0.0000, lr: 0.00049962, epoch_time: 1613.0min
Epoch:[1/1](24000/1270238), loss: 2.8448, logits_loss: 2.8448, aux_loss: 0.0000, lr: 0.00049960, epoch_time: 1612.0min
Epoch:[1/1](24500/1270238), loss: 3.5781, logits_loss: 3.5781, aux_loss: 0.0000, lr: 0.00049959, epoch_time: 1611.0min
Epoch:[1/1](25000/1270238), loss: 3.1017, logits_loss: 3.1017, aux_loss: 0.0000, lr: 0.00049957, epoch_time: 1611.0min
Epoch:[1/1](25500/1270238), loss: 2.6159, logits_loss: 2.6159, aux_loss: 0.0000, lr: 0.00049955, epoch_time: 1612.0min
Epoch:[1/1](26000/1270238), loss: 2.9906, logits_loss: 2.9906, aux_loss: 0.0000, lr: 0.00049953, epoch_time: 1611.0min
Epoch:[1/1](26500/1270238), loss: 2.6000, logits_loss: 2.6000, aux_loss: 0.0000, lr: 0.00049952, epoch_time: 1611.0min
Epoch:[1/1](27000/1270238), loss: 3.4898, logits_loss: 3.4898, aux_loss: 0.0000, lr: 0.00049950, epoch_time: 1611.0min
Epoch:[1/1](27500/1270238), loss: 2.3222, logits_loss: 2.3222, aux_loss: 0.0000, lr: 0.00049948, epoch_time: 1610.0min
Epoch:[1/1](28000/1270238), loss: 4.4032, logits_loss: 4.4032, aux_loss: 0.0000, lr: 0.00049946, epoch_time: 1610.0min
Epoch:[1/1](28500/1270238), loss: 2.7443, logits_loss: 2.7443, aux_loss: 0.0000, lr: 0.00049944, epoch_time: 1609.0min
Epoch:[1/1](29000/1270238), loss: 3.0429, logits_loss: 3.0429, aux_loss: 0.0000, lr: 0.00049942, epoch_time: 1609.0min
Epoch:[1/1](29500/1270238), loss: 3.1732, logits_loss: 3.1732, aux_loss: 0.0000, lr: 0.00049940, epoch_time: 1608.0min
Epoch:[1/1](30000/1270238), loss: 3.2916, logits_loss: 3.2916, aux_loss: 0.0000, lr: 0.00049938, epoch_time: 1608.0min
Epoch:[1/1](30500/1270238), loss: 1.4981, logits_loss: 1.4981, aux_loss: 0.0000, lr: 0.00049936, epoch_time: 1608.0min
Epoch:[1/1](31000/1270238), loss: 1.0686, logits_loss: 1.0686, aux_loss: 0.0000, lr: 0.00049934, epoch_time: 1608.0min
Epoch:[1/1](31500/1270238), loss: 2.8169, logits_loss: 2.8169, aux_loss: 0.0000, lr: 0.00049932, epoch_time: 1608.0min
Epoch:[1/1](32000/1270238), loss: 2.8792, logits_loss: 2.8792, aux_loss: 0.0000, lr: 0.00049930, epoch_time: 1608.0min
Epoch:[1/1](32500/1270238), loss: 4.0208, logits_loss: 4.0208, aux_loss: 0.0000, lr: 0.00049927, epoch_time: 1607.0min
Epoch:[1/1](33000/1270238), loss: 2.6753, logits_loss: 2.6753, aux_loss: 0.0000, lr: 0.00049925, epoch_time: 1607.0min
Epoch:[1/1](33500/1270238), loss: 2.6996, logits_loss: 2.6996, aux_loss: 0.0000, lr: 0.00049923, epoch_time: 1607.0min
Epoch:[1/1](34000/1270238), loss: 3.8130, logits_loss: 3.8130, aux_loss: 0.0000, lr: 0.00049920, epoch_time: 1606.0min
Epoch:[1/1](34500/1270238), loss: 3.2781, logits_loss: 3.2781, aux_loss: 0.0000, lr: 0.00049918, epoch_time: 1606.0min
Epoch:[1/1](35000/1270238), loss: 3.1277, logits_loss: 3.1277, aux_loss: 0.0000, lr: 0.00049916, epoch_time: 1604.0min
Epoch:[1/1](35500/1270238), loss: 2.0739, logits_loss: 2.0739, aux_loss: 0.0000, lr: 0.00049913, epoch_time: 1604.0min
Epoch:[1/1](36000/1270238), loss: 3.3645, logits_loss: 3.3645, aux_loss: 0.0000, lr: 0.00049911, epoch_time: 1604.0min
Epoch:[1/1](36500/1270238), loss: 3.5636, logits_loss: 3.5636, aux_loss: 0.0000, lr: 0.00049908, epoch_time: 1603.0min
Epoch:[1/1](37000/1270238), loss: 3.5519, logits_loss: 3.5519, aux_loss: 0.0000, lr: 0.00049906, epoch_time: 1602.0min
Epoch:[1/1](37500/1270238), loss: 2.4470, logits_loss: 2.4470, aux_loss: 0.0000, lr: 0.00049903, epoch_time: 1601.0min
Epoch:[1/1](38000/1270238), loss: 2.9826, logits_loss: 2.9826, aux_loss: 0.0000, lr: 0.00049901, epoch_time: 1600.0min
Epoch:[1/1](38500/1270238), loss: 2.4995, logits_loss: 2.4995, aux_loss: 0.0000, lr: 0.00049898, epoch_time: 1599.0min
Epoch:[1/1](39000/1270238), loss: 4.9602, logits_loss: 4.9602, aux_loss: 0.0000, lr: 0.00049895, epoch_time: 1599.0min
Epoch:[1/1](39500/1270238), loss: 4.0666, logits_loss: 4.0666, aux_loss: 0.0000, lr: 0.00049893, epoch_time: 1599.0min
Epoch:[1/1](40000/1270238), loss: 2.7371, logits_loss: 2.7371, aux_loss: 0.0000, lr: 0.00049890, epoch_time: 1598.0min
Epoch:[1/1](40500/1270238), loss: 2.8620, logits_loss: 2.8620, aux_loss: 0.0000, lr: 0.00049887, epoch_time: 1598.0min
Epoch:[1/1](41000/1270238), loss: 3.8995, logits_loss: 3.8995, aux_loss: 0.0000, lr: 0.00049884, epoch_time: 1598.0min
Epoch:[1/1](41500/1270238), loss: 2.3920, logits_loss: 2.3920, aux_loss: 0.0000, lr: 0.00049882, epoch_time: 1597.0min
Epoch:[1/1](42000/1270238), loss: 2.3279, logits_loss: 2.3279, aux_loss: 0.0000, lr: 0.00049879, epoch_time: 1597.0min
Epoch:[1/1](42500/1270238), loss: 2.9573, logits_loss: 2.9573, aux_loss: 0.0000, lr: 0.00049876, epoch_time: 1595.0min
Epoch:[1/1](43000/1270238), loss: 2.8852, logits_loss: 2.8852, aux_loss: 0.0000, lr: 0.00049873, epoch_time: 1594.0min
Epoch:[1/1](43500/1270238), loss: 3.2496, logits_loss: 3.2496, aux_loss: 0.0000, lr: 0.00049870, epoch_time: 1594.0min
Epoch:[1/1](44000/1270238), loss: 3.5711, logits_loss: 3.5711, aux_loss: 0.0000, lr: 0.00049867, epoch_time: 1593.0min
Epoch:[1/1](44500/1270238), loss: 2.5922, logits_loss: 2.5922, aux_loss: 0.0000, lr: 0.00049864, epoch_time: 1592.0min
Epoch:[1/1](45000/1270238), loss: 1.7323, logits_loss: 1.7323, aux_loss: 0.0000, lr: 0.00049861, epoch_time: 1591.0min
Epoch:[1/1](45500/1270238), loss: 2.7030, logits_loss: 2.7030, aux_loss: 0.0000, lr: 0.00049858, epoch_time: 1591.0min
Epoch:[1/1](46000/1270238), loss: 2.4155, logits_loss: 2.4155, aux_loss: 0.0000, lr: 0.00049855, epoch_time: 1590.0min
Epoch:[1/1](46500/1270238), loss: 3.8263, logits_loss: 3.8263, aux_loss: 0.0000, lr: 0.00049851, epoch_time: 1589.0min
Epoch:[1/1](47000/1270238), loss: 2.7860, logits_loss: 2.7860, aux_loss: 0.0000, lr: 0.00049848, epoch_time: 1588.0min
Epoch:[1/1](47500/1270238), loss: 2.4087, logits_loss: 2.4087, aux_loss: 0.0000, lr: 0.00049845, epoch_time: 1587.0min
Epoch:[1/1](48000/1270238), loss: 3.2313, logits_loss: 3.2313, aux_loss: 0.0000, lr: 0.00049842, epoch_time: 1587.0min
Epoch:[1/1](48500/1270238), loss: 2.5814, logits_loss: 2.5814, aux_loss: 0.0000, lr: 0.00049838, epoch_time: 1586.0min
Epoch:[1/1](49000/1270238), loss: 3.3670, logits_loss: 3.3670, aux_loss: 0.0000, lr: 0.00049835, epoch_time: 1586.0min
