stage,epoch,step,loss,learning_rate,timestamp
pretrain,1,1760,6.72253990,0.000499997868395,2026-04-27T19:31:58
pretrain,1,1780,6.81345463,0.000499997819674,2026-04-27T19:31:59
pretrain,1,1800,7.12018108,0.000499997770403,2026-04-27T19:32:01
pretrain,1,1820,6.22611237,0.000499997720581,2026-04-27T19:32:02
pretrain,1,1840,6.80734205,0.000499997670209,2026-04-27T19:32:04
pretrain,1,1860,6.06186390,0.000499997619286,2026-04-27T19:32:06
pretrain,1,1880,7.17845440,0.000499997567813,2026-04-27T19:32:07
pretrain,1,1900,6.88693714,0.000499997515789,2026-04-27T19:32:08
pretrain,1,1920,6.82076120,0.000499997463215,2026-04-27T19:32:10
pretrain,1,1940,6.80589437,0.00049999741009,2026-04-27T19:32:11
pretrain,1,1960,6.44324541,0.000499997356415,2026-04-27T19:32:13
pretrain,1,1980,7.11501026,0.000499997302189,2026-04-27T19:32:15
pretrain,1,2000,6.91977978,0.000499997247412,2026-04-27T19:32:16
pretrain,1,2020,6.91896820,0.000499997192085,2026-04-27T19:32:20
pretrain,1,2040,7.05265379,0.000499997136208,2026-04-27T19:32:21
pretrain,1,2060,7.11964703,0.00049999707978,2026-04-27T19:32:23
pretrain,1,2080,6.91673613,0.000499997022802,2026-04-27T19:32:24
pretrain,1,2100,6.60973024,0.000499996965273,2026-04-27T19:32:26
pretrain,1,2120,6.45303202,0.000499996907193,2026-04-27T19:32:27
pretrain,1,2140,6.84443092,0.000499996848563,2026-04-27T19:32:29
pretrain,1,2160,6.77401447,0.000499996789383,2026-04-27T19:32:30
pretrain,1,2180,6.66669416,0.000499996729652,2026-04-27T19:32:32
pretrain,1,2200,7.01394176,0.00049999666937,2026-04-27T19:32:34
pretrain,1,2220,6.50827026,0.000499996608538,2026-04-27T19:32:35
pretrain,1,2240,6.45681620,0.000499996547156,2026-04-27T19:32:37
pretrain,1,2260,7.33867407,0.000499996485223,2026-04-27T19:32:38
pretrain,1,2280,6.78714657,0.000499996422739,2026-04-27T19:32:40
pretrain,1,2300,6.30354357,0.000499996359705,2026-04-27T19:32:41
pretrain,1,2320,6.77898598,0.000499996296121,2026-04-27T19:32:43
pretrain,1,2340,6.89914656,0.000499996231985,2026-04-27T19:32:44
pretrain,1,2360,6.98745871,0.0004999961673,2026-04-27T19:32:46
pretrain,1,2380,7.01250410,0.000499996102064,2026-04-27T19:32:48
pretrain,1,2400,6.46427059,0.000499996036277,2026-04-27T19:32:50
pretrain,1,2420,6.71885967,0.00049999596994,2026-04-27T19:32:51
pretrain,1,2440,6.68860435,0.000499995903052,2026-04-27T19:32:53
pretrain,1,2460,6.68444681,0.000499995835614,2026-04-27T19:32:54
pretrain,1,2480,7.37377167,0.000499995767626,2026-04-27T19:32:56
pretrain,1,2500,6.58462620,0.000499995699087,2026-04-27T19:32:57
pretrain,1,2520,5.45141983,0.000499995629997,2026-04-27T19:32:59
pretrain,1,2540,6.49708700,0.000499995560357,2026-04-27T19:33:00
pretrain,1,2560,6.30335426,0.000499995490166,2026-04-27T19:33:02
pretrain,1,2580,6.14392233,0.000499995419425,2026-04-27T19:33:04
pretrain,1,2600,6.84444094,0.000499995348133,2026-04-27T19:33:05
pretrain,1,2620,6.70670557,0.000499995276291,2026-04-27T19:33:07
pretrain,1,2640,6.33061409,0.000499995203898,2026-04-27T19:33:08
pretrain,1,2660,6.37901688,0.000499995130955,2026-04-27T19:33:10
pretrain,1,2680,6.95858955,0.000499995057461,2026-04-27T19:33:11
pretrain,1,2700,6.34932184,0.000499994983417,2026-04-27T19:33:12
pretrain,1,2720,6.76473999,0.000499994908823,2026-04-27T19:33:14
pretrain,1,2740,6.68946314,0.000499994833677,2026-04-27T19:33:15
pretrain,1,2760,6.42079210,0.000499994757982,2026-04-27T19:33:17
pretrain,1,2780,6.61660576,0.000499994681735,2026-04-27T19:33:19
pretrain,1,2800,6.47431612,0.000499994604939,2026-04-27T19:33:20
pretrain,1,2820,6.49787188,0.000499994527591,2026-04-27T19:33:22
