stage,epoch,step,loss,learning_rate,timestamp
pretrain,1,500,2.71446061,0.000499999827963,2026-04-27T22:21:51
pretrain,1,1000,3.66020226,0.000499999311852,2026-04-27T22:22:30
pretrain,1,1500,2.33240962,0.000499998451668,2026-04-27T22:23:09
pretrain,1,2000,3.26573324,0.000499997247412,2026-04-27T22:23:48
pretrain,1,2500,3.13103747,0.000499995699087,2026-04-27T22:24:26
pretrain,1,3000,2.62195873,0.000499993806693,2026-04-27T22:25:05
pretrain,1,3500,2.96072102,0.000499991570235,2026-04-27T22:25:43
pretrain,1,4000,3.62467122,0.000499988989716,2026-04-27T22:26:21
pretrain,1,4500,2.02159381,0.00049998606514,2026-04-27T22:26:59
pretrain,1,5000,3.27920794,0.000499982796511,2026-04-27T22:27:38
pretrain,1,5500,3.35362506,0.000499979183834,2026-04-27T22:28:18
pretrain,1,6000,3.46244001,0.000499975227114,2026-04-27T22:28:56
pretrain,1,6500,4.04116011,0.000499970926359,2026-04-27T22:29:35
pretrain,1,7000,3.71971726,0.000499966281574,2026-04-27T22:30:14
pretrain,1,7500,3.33012724,0.000499961292766,2026-04-27T22:30:52
pretrain,1,8000,2.82197022,0.000499955959943,2026-04-27T22:31:31
pretrain,1,8500,3.05588007,0.000499950283114,2026-04-27T22:32:10
pretrain,1,9000,2.96987987,0.000499944262286,2026-04-27T22:32:48
pretrain,1,9500,3.27227283,0.000499937897469,2026-04-27T22:33:27
pretrain,1,10000,3.93730688,0.000499931188674,2026-04-27T22:34:05
pretrain,1,10500,2.99770594,0.000499924135909,2026-04-27T22:34:45
pretrain,1,11000,2.77521157,0.000499916739187,2026-04-27T22:35:24
pretrain,1,11500,2.91600990,0.000499908998517,2026-04-27T22:36:03
pretrain,1,12000,4.98667431,0.000499900913913,2026-04-27T22:36:41
pretrain,1,12500,2.57501268,0.000499892485386,2026-04-27T22:37:21
pretrain,1,13000,2.91262245,0.000499883712949,2026-04-27T22:37:59
pretrain,1,13500,1.63723695,0.000499874596616,2026-04-27T22:38:38
pretrain,1,14000,2.97728181,0.0004998651364,2026-04-27T22:39:16
pretrain,1,14500,2.27254891,0.000499855332317,2026-04-27T22:39:56
pretrain,1,15000,3.41996884,0.000499845184381,2026-04-27T22:40:34
pretrain,1,15500,3.52863646,0.000499834692607,2026-04-27T22:41:14
pretrain,1,16000,3.60330224,0.000499823857012,2026-04-27T22:41:53
pretrain,1,16500,2.33980608,0.000499812677613,2026-04-27T22:42:33
pretrain,1,17000,2.79325914,0.000499801154425,2026-04-27T22:43:12
pretrain,1,17500,2.53184748,0.000499789287468,2026-04-27T22:43:50
pretrain,1,18000,2.39848495,0.000499777076759,2026-04-27T22:44:29
pretrain,1,18500,2.83759356,0.000499764522316,2026-04-27T22:45:07
pretrain,1,19000,3.61001897,0.00049975162416,2026-04-27T22:45:47
pretrain,1,19500,3.31675339,0.000499738382309,2026-04-27T22:46:26
pretrain,1,20000,2.65809870,0.000499724796784,2026-04-27T22:47:05
pretrain,1,20500,3.69051909,0.000499710867606,2026-04-27T22:47:46
